position,rank,name,lastName,uri,imageUri,age,gender,title,pay,organization,government
1,1,Steve Cohen,Cohen,steve-cohen,steve-cohen,59,M,"Founder, Point72 Asset Management",1300,Point72 Asset Management,false
2,2,Ray Dalio,Dalio,ray-dalio,ray-dalio,66,M,"Founder & Co-Chief Investment Officer, Bridgewater Associates",1200,Bridgewater Associates,false
3,2,George Soros,Soros,george-soros,george-soros,85,M,"Founder, Soros Fund Management LLC",1200,Soros Fund Management LLC,false
4,4,William Ackman,Ackman,william-ackman,william-ackman,49,M,"Founder, CEO, Pershing Square Capital Management, L.P.",1100,"Pershing Square Capital Management, L.P.",false
5,4,Ken Griffin,Griffin,ken-griffin,ken-griffin,47,M,"Founder, Citadel LLC",1100,Citadel LLC,false
6,4,James Simons,Simons,james-simons,james-simons,77,M,"Founder, Renaissance Technologies Corp.",1100,Renaissance Technologies Corp.,false
7,7,Larry Robbins,Robbins,larry-robbins,larry-robbins,46,M,"Founder, Glenview Capital Management",600,Glenview Capital Management,false
8,8,Andreas Halvorsen,Halvorsen,andreas-halvorsen,andreas-halvorsen,54,M,"Founding Partner & Chief Executive Officer, Viking Global Investors",550,Viking Global Investors,false
9,9,David Shaw,Shaw,david-shaw,david-shaw,64,M,"Founder, D. E. Shaw &#38; Co., L.P.",400,"D. E. Shaw &#38; Co., L.P.",false
10,9,David Tepper,Tepper,david-tepper,david-tepper,58,M,"President and Founder, Appaloosa Management",400,Appaloosa Management,false
11,11,"Chase Coleman, III.",Coleman,chase-coleman-iii,chase-coleman-iii,40,M,"Founder, Tiger Global Management",380,Tiger Global Management,false
12,11,Israel Englander,Englander,israel-englander,israel-englander,67,M,"Founder, Millennium Management, L.L.C.",380,"Millennium Management, L.L.C.",false
13,13,David Harding,Harding,david-harding,david-harding,54,M,"Chairman & Head of Research, Winton Capital Management",320,Winton Capital Management,false
14,14,Daniel Loeb,Loeb,daniel-loeb,daniel-loeb,53,M,"Founder, Third Point",300,Third Point,false
15,15,Michael Platt,Platt,michael-platt,michael-platt,47,M,"Founder, BlueCrest Capital Management",250,BlueCrest Capital Management,false
16,16,Daniel Och,Och,daniel-och,daniel-och,54,M,"Chairman and CEO, Och-Ziff Capital Management Group",225,Och-Ziff Capital Management Group,false
17,16,Paul Singer,Singer,paul-singer,paul-singer,70,M,"Founder, Elliott Management",225,Elliott Management,false
18,18,Feroz Dewan,Dewan,feroz-dewan,feroz-dewan,,,"Partner, Tiger Global Management",200,Tiger Global Management,false
19,18,David Einhorn,Einhorn,david-einhorn,david-einhorn,46,M,"Founder & President, Greenlight Capital",200,Greenlight Capital,false
20,18,Christopher Hohn,Hohn,christopher-hohn,christopher-hohn,49,M,"Founder, The Children's Investment Fund Management",200,The Children's Investment Fund Management,false
21,18,"Paul Tudor Jones, II.",Jones,paul-tudor-jones-ii,paul-tudor-jones-ii,61,M,"Founder, Tudor Investment Corporation",200,Tudor Investment Corporation,false
22,18,Seth Klarman,Klarman,seth-klarman,seth-klarman,58,M,"CEO & President, Baupost Group",200,Baupost Group,false
23,23,Nelson Peltz,Peltz,nelson-peltz,nelson-peltz,73,M,"Founder, Trian Fund Management",170,Trian Fund Management,false
24,24,"Stephen Mandel, Jr.",Mandel,stephen-mandel-jr,no-pic,59,M,"Founder, Lone Pine Capital",150,Lone Pine Capital,false
25,24,Danny Yong,Yong,danny-yong,danny-yong,43,M,"Founder, Dymon Asia Capital",150,Dymon Asia Capital,false
